day	ward	N_atRisk	N_acquisitions	N_colonised
1	A	8	1	2
2	A	7	2	3
3	A	8	1	2
4	A	7	2	3
5	A	9	1	1
6	A	8	1	2
7	A	7	2	3
8	A	6	2	4
9	A	6	2	4
10	A	9	1	1
11	A	8	1	2
12	A	6	2	4
13	A	7	2	3
14	A	8	1	2
15	A	7	2	3
16	A	10	0	0
17	A	10	0	0
18	A	10	0	0
19	A	9	1	1
20	A	10	0	0
21	A	10	0	0
22	A	7	2	3
23	A	9	1	1
24	A	10	0	0
25	A	9	1	1
26	A	6	2	4
27	A	10	0	0
28	A	10	0	0
29	A	7	2	3
30	A	10	0	0
1	B	13	5	7
2	B	12	5	8
3	B	13	5	7
4	B	18	2	2
5	B	11	5	9
6	B	16	3	4
7	B	14	4	6
8	B	20	0	0
9	B	13	5	7
10	B	10	5	10
11	B	16	3	4
12	B	17	3	3
13	B	20	0	0
14	B	11	5	9
15	B	12	5	8
16	B	20	0	0
17	B	16	3	4
18	B	13	5	7
19	B	10	5	10
20	B	12	5	8
21	B	20	0	0
22	B	15	4	5
23	B	12	5	8
24	B	10	5	10
25	B	12	5	8
26	B	19	1	1
27	B	11	5	9
28	B	11	5	9
29	B	20	0	0
30	B	20	0	0
1	C	13	2	2
2	C	14	3	1
3	C	15	1	0
4	C	12	3	3
5	C	11	2	4
6	C	12	2	3
7	C	14	2	1
8	C	13	1	2
9	C	14	2	1
10	C	11	4	4
11	C	10	3	5
12	C	9	3	6
13	C	13	2	2
14	C	9	3	6
15	C	14	2	1
16	C	12	3	3
17	C	13	1	2
18	C	10	2	5
19	C	13	3	2
20	C	11	4	4
21	C	15	0	0
22	C	10	3	5
23	C	15	1	0
24	C	11	2	4
25	C	13	3	2
26	C	12	1	3
27	C	12	2	3
28	C	15	1	0
29	C	13	1	2
30	C	9	2	6
1	D	17	5	13
2	D	17	4	13
3	D	25	5	5
4	D	9	4	21
5	D	6	5	24
6	D	10	5	20
7	D	21	5	9
8	D	13	5	17
9	D	7	3	23
10	D	9	4	21
11	D	19	6	11
12	D	13	6	17
13	D	25	5	5
14	D	6	3	24
15	D	8	4	22
16	D	10	5	20
17	D	5	3	25
18	D	5	5	25
19	D	17	5	13
20	D	15	7	15
21	D	20	5	10
22	D	10	5	20
23	D	24	4	6
24	D	16	4	14
25	D	10	4	20
26	D	5	4	25
27	D	13	5	17
28	D	25	3	5
29	D	22	6	8
30	D	18	4	12
